DATA,,,,,,,,
key,data,,,,,,,
token_name,Oxygen,,,,,,,
token_symbol,OXY,,,,,,,
start_date,01/12/2021,,,,,,,
start_tokens,10000000000,,,,,,,
emission_schedule,1D,,,,,,,
emission_type,linear_unlock,,,,,,,
emission_incentive,,,,,,,,
DISTRIBUTION,,,,,,,,
entity,Community Fund,Team,Serum Ecosystem Incentives,Maps Ecosystem Incentives,Product and Tech Growth,Private Sale,IEO,Partners
type,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage
group,community,team,community,community,team,investors,public,team
emission,unlock,unlock,unlock,unlock,unlock,unlock,unlock,unlock
t322,0,0,1.5,0,8.5,0,2,0.00
t323,0,0,1.5,0,8.5,0,2,0.00
t324,0,0,1.5,0,8.5,0,2,0.00
t325,0,0,1.5,0,8.5,0,2,0.00
t326,0,0,1.5,0,8.5,0,2,0.00
t327,0,0,1.5,0,8.5,0,2,0.00
t328,0,0,1.5,0,8.5,0,2,0.00
t329,0,0,1.5,0,8.5,0,2,0.00
t330,0,0,1.5,0,8.5,0,2,0.00
t331,0,0,1.5,0,8.5,0,2,0.00
t332,0,0,1.5,0,8.5,0,2,0.00
t333,0,0,1.5,0,8.5,0,2,0.00
t334,0,0,1.5,0,8.5,0,2,0.00
t335,0,0,1.5,0,8.5,0,2,0.00
t336,0,0,1.5,0,8.5,0,2,0.00
t337,0,0,1.5,0,8.5,0,2,0.00
t338,0,0,1.5,0,8.5,0,2,0.00
t339,0,0,1.5,0,8.5,0,2,0.00
t340,0,0,1.5,0,8.5,0,2,0.00
t341,0,0,1.5,0,8.5,0,2,0.00
t342,0,0,1.5,0,8.5,0,2,0.00
t343,0,0,1.5,0,8.5,0,2,0.00
t344,0,0,1.5,0,8.5,0,2,0.00
t345,0,0,1.5,0,8.5,0,2,0.00
t346,0,0,1.5,0,8.5,0,2,0.00
t347,0,0,1.5,0,8.5,0,2,0.00
t348,0,0,1.5,0,8.5,0,2,0.00
t349,0,0,1.5,0,8.5,0,2,0.00
t350,0,0,1.5,0,8.5,0,2,0.00
t351,0,0,1.5,0,8.5,0,2,0.00
t352,0,0,1.5,0,8.5,0,2,0.00
t353,0,0,1.5,0,8.5,0,2,0.00
t354,0,0,1.5,0,8.5,0,2,0.00
t355,0,0,1.5,0,8.5,0,2,0.00
t356,0,0,1.5,0,8.5,0,2,0.00
t357,0,0,1.5,0,8.5,0,2,0.00
t358,0,0,1.5,0,8.5,0,2,0.00
t359,0,0,1.5,0,8.5,0,2,0.00
t360,0,0,1.5,0,8.5,0,2,0.00
t361,0,0,1.5,0,8.5,0,2,0
t362,0,0,1.5,0,8.5,0,2,0
t363,0,0,1.5,0,8.5,0,2,0
t364,0,0,1.5,0,8.5,0,2,0
t365,0,0,1.5,0,8.5,0,2,0
t366,0.01,0.01,1.51,0.01,8.51,0.01,2,0.00
t367,0.02,0.01,1.51,0.01,8.52,0.01,2,0.01
t368,0.03,0.02,1.52,0.02,8.53,0.02,2,0.01
t369,0.04,0.02,1.53,0.02,8.54,0.02,2,0.02
t370,0.05,0.03,1.54,0.03,8.55,0.03,2,0.02
t371,0.07,0.03,1.54,0.03,8.55,0.03,2,0.03
t372,0.08,0.04,1.55,0.04,8.56,0.04,2,0.03
t373,0.09,0.04,1.56,0.04,8.57,0.04,2,0.04
t374,0.10,0.05,1.57,0.05,8.58,0.05,2,0.04
t375,0.11,0.05,1.57,0.05,8.59,0.05,2,0.04
t376,0.12,0.06,1.58,0.06,8.60,0.06,2,0.05
t377,0.13,0.07,1.59,0.07,8.61,0.07,2,0.05
t378,0.14,0.07,1.60,0.07,8.62,0.07,2,0.06
t379,0.15,0.08,1.60,0.08,8.63,0.08,2,0.06
t380,0.16,0.08,1.61,0.08,8.64,0.08,2,0.07
t381,0.18,0.09,1.62,0.09,8.64,0.09,2,0.07
t382,0.19,0.09,1.63,0.09,8.65,0.09,2,0.07
t383,0.20,0.10,1.63,0.10,8.66,0.10,2,0.08
t384,0.21,0.10,1.64,0.10,8.67,0.10,2,0.08
t385,0.22,0.11,1.65,0.11,8.68,0.11,2,0.09
t386,0.23,0.12,1.66,0.12,8.69,0.12,2,0.09
t387,0.24,0.12,1.66,0.12,8.70,0.12,2,0.10
t388,0.25,0.13,1.67,0.13,8.71,0.13,2,0.10
t389,0.26,0.13,1.68,0.13,8.72,0.13,2,0.11
t390,0.27,0.14,1.68,0.14,8.73,0.14,2,0.11
t391,0.28,0.14,1.69,0.14,8.73,0.14,2,0.11
t392,0.30,0.15,1.70,0.15,8.74,0.15,2,0.12
t393,0.31,0.15,1.71,0.15,8.75,0.15,2,0.12
t394,0.32,0.16,1.71,0.16,8.76,0.16,2,0.13
t395,0.33,0.16,1.72,0.16,8.77,0.16,2,0.13
t396,0.34,0.17,1.73,0.17,8.78,0.17,2,0.14
t397,0.35,0.18,1.74,0.18,8.79,0.18,2,0.14
t398,0.36,0.18,1.74,0.18,8.80,0.18,2,0.14
t399,0.37,0.19,1.75,0.19,8.81,0.19,2,0.15
t400,0.38,0.19,1.76,0.19,8.82,0.19,2,0.15
t401,0.39,0.20,1.77,0.20,8.83,0.20,2,0.16
t402,0.41,0.20,1.77,0.20,8.83,0.20,2,0.16
t403,0.42,0.21,1.78,0.21,8.84,0.21,2,0.17
t404,0.43,0.21,1.79,0.21,8.85,0.21,2,0.17
t405,0.44,0.22,1.80,0.22,8.86,0.22,2,0.18
t406,0.45,0.22,1.80,0.22,8.87,0.22,2,0.18
t407,0.46,0.23,1.81,0.23,8.88,0.23,2,0.18
t408,0.47,0.24,1.82,0.24,8.89,0.24,2,0.19
t409,0.48,0.24,1.83,0.24,8.90,0.24,2,0.19
