DATA,,,,
key,data,,,,,
token_name,Genopets,,,
token_symbol,GENE,,,
start_date,19/11/2021,,,
start_tokens,100000000,,,
emission_schedule,1D,,,
emission_type,linear_unlock,,,
emission_incentive,,,,
DISTRIBUTION,,,,
entity,private sale,public sale,team & advisors,community treasure and P2E
type,percentage,percentage,percentage,percentage
group,investors,public,team,community
emission,unlock,unlock,unlock,unlock
allocation,32.5,1.5,25,41
t398,2.94,1.50,0.75,10.50
t399,3.03,1.50,0.78,10.52
t400,3.12,1.50,0.80,10.54
t401,3.21,1.50,0.82,10.56
t402,3.29,1.50,0.84,10.59
t403,3.38,1.50,0.87,10.61
t404,3.47,1.50,0.89,10.63
t405,3.56,1.50,0.91,10.65
t406,3.65,1.50,0.94,10.67
t407,3.74,1.50,0.96,10.69
t408,3.83,1.50,0.98,10.71
t409,3.92,1.50,1.00,10.74
t410,4.01,1.50,1.03,10.76
t411,4.10,1.50,1.05,10.78
t412,4.18,1.50,1.07,10.80
t413,4.27,1.50,1.09,10.82
t414,4.36,1.50,1.12,10.84
t415,4.45,1.50,1.14,10.86
t416,4.54,1.50,1.16,10.88
t417,4.63,1.50,1.19,10.91
t418,4.72,1.50,1.21,10.93
t419,4.81,1.50,1.23,10.95
t420,4.90,1.50,1.25,10.97
t421,4.99,1.50,1.28,10.99
t422,5.08,1.50,1.30,11.01
t423,5.16,1.50,1.32,11.03
t424,5.25,1.50,1.35,11.06
t425,5.34,1.50,1.37,11.08
t426,5.43,1.50,1.39,11.10
t427,5.52,1.50,1.41,11.12
t428,5.61,1.50,1.44,11.14
t429,5.70,1.50,1.46,11.16
t430,5.79,1.50,1.48,11.18
t431,5.88,1.50,1.51,11.21
t432,5.97,1.50,1.53,11.23
t433,6.05,1.50,1.55,11.25
t434,6.14,1.50,1.57,11.27
t435,6.23,1.50,1.60,11.29
t436,6.32,1.50,1.62,11.31
t437,6.41,1.50,1.64,11.33
t438,6.50,1.50,1.67,11.35
t439,6.59,1.50,1.69,11.38
t440,6.68,1.50,1.71,11.40
t441,6.77,1.50,1.73,11.42
t442,6.86,1.50,1.76,11.44
t443,6.95,1.50,1.78,11.46
t444,7.03,1.50,1.80,11.48
t445,7.12,1.50,1.82,11.50
t446,7.21,1.50,1.85,11.53
t447,7.30,1.50,1.87,11.55
t448,7.39,1.50,1.89,11.57
t449,7.48,1.50,1.92,11.59
t450,7.57,1.50,1.94,11.61
t451,7.66,1.50,1.96,11.63
t452,7.75,1.50,1.98,11.65
t453,7.84,1.50,2.01,11.68
t454,7.92,1.50,2.03,11.70
t455,8.01,1.50,2.05,11.72
t456,8.10,1.50,2.08,11.74
t457,8.19,1.50,2.10,11.76
t458,8.28,1.50,2.12,11.78
t459,8.37,1.50,2.14,11.80
t460,8.46,1.50,2.17,11.82
t461,8.55,1.50,2.19,11.85
t462,8.64,1.50,2.21,11.87
t463,8.73,1.50,2.24,11.89
t464,8.82,1.50,2.26,11.91
t465,8.90,1.50,2.28,11.93
t466,8.99,1.50,2.30,11.95
t467,9.08,1.50,2.33,11.97
t468,9.17,1.50,2.35,12.00
t469,9.26,1.50,2.37,12.02
t470,9.35,1.50,2.40,12.04
t471,9.44,1.50,2.42,12.06
t472,9.53,1.50,2.44,12.08
t473,9.62,1.50,2.46,12.10
t474,9.71,1.50,2.49,12.12
t475,9.79,1.50,2.51,12.15
t476,9.88,1.50,2.53,12.17
t477,9.97,1.50,2.55,12.19
t478,10.06,1.50,2.58,12.21
t479,10.15,1.50,2.60,12.23
t480,10.24,1.50,2.62,12.25
t481,10.33,1.50,2.65,12.27
t482,10.42,1.50,2.67,12.29
t483,10.51,1.50,2.69,12.32
t484,10.60,1.50,2.71,12.34
t485,10.68,1.50,2.74,12.36
t486,10.77,1.50,2.76,12.38
t487,10.86,1.50,2.78,12.40
t488,10.95,1.50,2.81,12.42
t489,11.04,1.50,2.83,12.44
t490,11.13,1.50,2.85,12.47
t491,11.22,1.50,2.87,12.49
t492,11.31,1.50,2.90,12.51
t493,11.40,1.50,2.92,12.53
t494,11.49,1.50,2.94,12.55
t495,11.58,1.50,2.97,12.57
t496,11.66,1.50,2.99,12.59
t497,11.75,1.50,3.01,12.62
t498,11.84,1.50,3.03,12.64
t499,11.93,1.50,3.06,12.66
t500,12.02,1.50,3.08,12.68
t501,12.11,1.50,3.10,12.70
t502,12.20,1.50,3.12,12.72
t503,12.29,1.50,3.15,12.74
t504,12.38,1.50,3.17,12.76
t505,12.47,1.50,3.19,12.79
t506,12.55,1.50,3.22,12.81
t507,12.64,1.50,3.24,12.83
t508,12.73,1.50,3.26,12.85
t509,12.82,1.50,3.28,12.87
t510,12.91,1.50,3.31,12.89
t511,13.00,1.50,3.33,12.91
t512,13.09,1.50,3.35,12.94
t513,13.18,1.50,3.38,12.96
t514,13.27,1.50,3.40,12.98
t515,13.36,1.50,3.42,13.00
t516,13.45,1.50,3.44,13.02
t517,13.53,1.50,3.47,13.04
t518,13.62,1.50,3.49,13.06
t519,13.71,1.50,3.51,13.08
t520,13.80,1.50,3.54,13.11
t521,13.89,1.50,3.56,13.13
t522,13.98,1.50,3.58,13.15
t523,14.07,1.50,3.60,13.17
t524,14.16,1.50,3.63,13.19
t525,14.25,1.50,3.65,13.21
t526,14.34,1.50,3.67,13.23
t527,14.42,1.50,3.70,13.26
t528,14.51,1.50,3.72,13.28
t529,14.60,1.50,3.74,13.30
t530,14.69,1.50,3.76,13.32
t531,14.78,1.50,3.79,13.34
t532,14.87,1.50,3.81,13.36
t533,14.96,1.50,3.83,13.38
t534,15.05,1.50,3.85,13.41
t535,15.14,1.50,3.88,13.43
t536,15.23,1.50,3.90,13.45
